Player,Tm,Salary,Signed Using,Guaranteed,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Richaun Holmes,SAC,5005350,Room Exception,$5005350,C,27.0,43.0,43.0,30.4,6.1,9.4,0.647,0.0,0.2,0.25,6.0,9.2,0.655,0.649,2.1,2.7,0.807,2.6,6.4,9.0,1.8,0.7,1.7,1.2,3.7,14.4,20.6,0.679,0.02,0.281,9.5,23.6,16.4,8.4,1.1,4.6,10.4,16.6,3.8,0.9,4.7,0.172,0.8,0.0,0.8,0.9
Enes Kanter,POR,5005350,Room Exception,$5005350,C,28.0,46.0,32.0,26.7,5.2,8.5,0.605,0.0,0.0,0.0,5.2,8.5,0.606,0.605,1.9,2.5,0.7809999999999999,4.3,7.4,11.7,1.2,0.5,0.7,1.2,2.6,12.2,22.7,0.637,0.003,0.29100000000000004,16.9,30.9,23.6,7.2,1.0,2.4,10.9,17.5,4.1,0.9,5.1,0.198,1.8,-2.1,-0.3,0.5
Mike Scott,PHI,5005350,Room Exception,$5005350,PF,32.0,27.0,6.0,17.5,1.3,3.7,0.35600000000000004,1.0,3.0,0.321,0.4,0.7,0.5,0.485,0.2,0.4,0.6,0.2,2.4,2.6,0.7,0.6,0.1,0.6,1.3,3.9,6.3,0.503,0.815,0.09300000000000001,1.4,15.3,8.5,4.6,1.6,0.9,11.8,10.9,-0.1,0.7,0.5,0.051,-3.3,0.3,-2.9,-0.1
Ed Davis,MIN,5005350,Room Exception,$5005350,C,31.0,19.0,7.0,13.9,0.9,2.3,0.419,0.0,0.0,,0.9,2.3,0.419,0.419,0.4,0.4,0.875,2.0,3.1,5.1,1.0,0.5,0.5,0.3,2.6,2.3,12.1,0.462,0.0,0.18600000000000003,14.8,25.1,19.7,9.4,1.8,3.2,11.4,8.3,0.3,0.3,0.6,0.114,-3.8,0.4,-3.4,-0.1
Rodney McGruder,DET,5000000,Cap Space,$10370370,SG,29.0,16.0,2.0,12.1,2.3,4.4,0.529,0.7,1.5,0.45799999999999996,1.6,2.9,0.565,0.607,0.4,0.5,0.75,0.5,0.9,1.4,1.0,0.5,0.1,0.4,0.8,5.7,16.2,0.619,0.34299999999999997,0.114,4.5,8.2,6.3,13.9,2.0,0.5,8.7,18.1,0.3,0.2,0.5,0.122,0.9,-0.2,0.7,0.1
Nerlens Noel,NYK,5000000,Cap Space,$5000000,C,26.0,41.0,18.0,22.8,2.2,3.5,0.614,0.0,0.0,0.0,2.2,3.5,0.622,0.614,0.6,0.9,0.6579999999999999,2.2,4.0,6.2,0.7,1.0,2.0,1.2,2.6,5.0,14.7,0.628,0.013999999999999999,0.262,10.4,19.0,14.7,4.1,2.2,8.8,22.9,9.9,0.7,2.1,2.8,0.14300000000000002,-2.7,3.2,0.5,0.6
Daniel Theis,CHI,5000000,,,C,28.0,43.0,37.0,24.4,3.8,6.8,0.5529999999999999,0.8,2.2,0.344,3.0,4.6,0.655,0.609,1.1,1.6,0.6759999999999999,1.3,3.9,5.2,1.6,0.6,1.0,1.0,2.8,9.4,15.3,0.624,0.32799999999999996,0.23199999999999998,5.8,17.9,11.8,9.4,1.2,4.0,11.5,15.0,1.8,1.1,2.9,0.132,-0.5,0.7,0.2,0.6
Collin Sexton,CLE,4991880,1st Round Pick,$11341551,SG,22.0,40.0,40.0,36.0,8.8,18.5,0.47600000000000003,1.7,4.5,0.374,7.2,14.1,0.509,0.522,4.6,5.7,0.8029999999999999,0.8,2.1,2.9,4.2,1.2,0.1,2.7,2.7,23.9,17.2,0.568,0.242,0.309,2.3,6.6,4.4,21.1,1.6,0.3,11.5,28.7,1.6,0.7,2.3,0.078,1.5,-1.8,-0.3,0.6
Pat Connaughton,MIL,4938272,Early Bird,$10271605,SG,28.0,43.0,1.0,22.9,2.5,5.4,0.455,1.5,3.7,0.41100000000000003,1.0,1.7,0.547,0.594,0.5,0.6,0.769,1.0,3.7,4.7,1.4,0.7,0.4,0.5,1.6,6.9,12.4,0.608,0.6779999999999999,0.11199999999999999,5.0,16.4,10.9,7.5,1.5,1.5,7.6,11.3,1.6,1.1,2.7,0.131,0.3,0.4,0.8,0.7
Obi Toppin,NYK,4862040,1st Round Pick,$9967200,PF,22.0,37.0,0.0,11.8,1.7,3.5,0.473,0.4,1.4,0.28,1.3,2.2,0.593,0.527,0.3,0.5,0.706,0.4,1.8,2.2,0.5,0.3,0.3,0.5,1.0,4.1,10.8,0.542,0.382,0.13,3.9,16.5,10.2,6.2,1.1,2.5,12.1,15.9,0.0,0.6,0.6,0.071,-2.7,0.0,-2.7,-0.1
Kevon Looney,GSW,4821429,Bird Rights,$4821429,C,24.0,36.0,15.0,15.4,1.6,2.7,0.5920000000000001,0.1,0.3,0.444,1.5,2.5,0.607,0.612,0.6,0.8,0.741,1.6,2.4,4.1,1.8,0.4,0.4,0.6,2.0,3.9,14.0,0.637,0.092,0.276,11.1,16.8,14.0,15.5,1.3,2.2,16.7,10.2,1.2,0.7,1.9,0.162,-1.1,1.0,-0.1,0.3
